,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,510311126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,510311132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,510311143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,510311144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,510311149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,510321145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,510321147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,510331015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,510341163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,510341165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,510351122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,510351129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,510351130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,510351133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,510351135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,510351137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,510351140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,510351151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,510351154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,510361068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,510361089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,510361113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,510361127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,510371082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,510381004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,510381006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,510381010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,510381011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,510381020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,510381026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,510391012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,510391017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,510391383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,510391384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,510391389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,510391394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,510391397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,510401002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,510401003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,510401008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,510401009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,510401013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,510420001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,510421040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,510421042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,510421043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,510421046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,510421059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,510421060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,510421072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,510421074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,510421110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
