,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ashburton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bayswater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Belmont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cambridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Canning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Cockburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
32,Cottesloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,59,0,0,0,0,6,21,49,9,0,0,145
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,East Fremantle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,East Pilbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Fremantle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Greater Geraldton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Kalamunda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Kalgoorlie-Boulder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
63,Karratha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Kwinana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
74,Leonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Mandurah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Meekatharra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Melville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Menzies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,139,6,0,0,0,0,0,5,20,3,0,167
94,Nedlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Perenjori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Perth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
102,Pingelly,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,16
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Port Hedland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Rockingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,South Perth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Stirling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Subiaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Swan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Victoria Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Vincent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Wagin,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
124,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Wanneroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
128,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
